region,latitude,longitude,price_czk,area_m2,vlastnictvi,energ_stitek,dist_vecerka_m,dist_obchod_m,dist_tram_m,dist_metro_m,dist_bus_mhd_m,url,construction,condition,floor,city,district,heating,rooms,kitchen,price_per_m2
Ústecký kraj,50.50727028,13.6383656,2290000.0,54,1,4.0,134.0,861.0,461.0,,205.0,https://www.sreality.cz/detail/prodej/byt/2+1/most-most-antonina-dvoraka/2238632012,Cihlová,3.0,1.0,Most,Most,Ústřední dálkové,2.0,1.0,42407.40740740741
Ústecký kraj,50.6693826,14.09510556,2290000.0,48,1,5.0,101.0,3990.0,,,131.0,https://www.sreality.cz/detail/prodej/byt/2+kk/usti-nad-labem-krasne-brezno-rozcesti/1794101324,Panelová,5.0,2.0,Ústí nad Labem,Krásné Březno,Ústřední dálkové,2.0,0.0,47708.333333333336
Karlovarský kraj,50.22382099,12.18685167,2290000.0,61,1,4.0,539.0,1461.0,,,106.0,https://www.sreality.cz/detail/prodej/byt/2+1/as-as-hlavni/1348587596,Panelová,5.0,1.0,Aš, Cheb,Ústřední dálkové,2.0,1.0,37540.983606557376
Ústecký kraj,50.48825655,13.43817644,2290000.0,63,2,4.0,160.0,602.0,,,80.0,https://www.sreality.cz/detail/prodej/byt/2+1/chomutov-chomutov-pisecna/113229900,Panelová,3.0,6.0,Chomutov,Chomutov,,2.0,1.0,36349.206349206346
Moravskoslezský kraj,49.9474188,17.8902413,2290000.0,37,1,1.0,341.0,208.0,,,113.0,https://www.sreality.cz/detail/prodej/byt/1+1/opava-predmesti-namesti-svate-trojice/1410842700,Cihlová,3.0,1.0,Opava,Předměstí,Lokální plynové,1.0,1.0,61891.89189189189
Hlavní město Praha,50.04706028,14.30266417,8731568.0,43,2,6.0,10.0,420.0,1987.0,202.0,379.0,https://www.sreality.cz/detail/prodej/byt/2+kk/praha-stodulky-svitakova/4075929676,Cihlová,8.0,1.0,Praha, Praha 5,Ústřední dálkové,2.0,0.0,203059.72093023255
Středočeský kraj,49.57186991,14.66039674,2295000.0,33,1,5.0,97.0,,,,72.0,https://www.sreality.cz/detail/prodej/byt/2+kk/milicin-milicin-/2874126412,Cihlová,4.0,1.0,Miličín, Benešov,Krbová kamna,2.0,0.0,69545.45454545454
Jihočeský kraj,49.06114777,13.77234258,2299000.0,43,2,1.0,223.0,,,,167.0,https://www.sreality.cz/detail/prodej/byt/2+kk/vimperk-vimperk-ii-mirova/3538375500,Panelová,3.0,5.0,Vimperk,Vimperk II,Ústřední dálkové,2.0,0.0,53465.11627906977
Ústecký kraj,50.68683629,13.99351618,2299000.0,33,2,1.0,110.0,309.0,,,123.0,https://www.sreality.cz/detail/prodej/byt/2+kk/usti-nad-labem-vseborice-plynarenska/2639847500,Panelová,5.0,8.0,Ústí nad Labem,Všebořice,,2.0,0.0,69666.66666666667
Královéhradecký kraj,50.4122508,15.9277693,2299000.0,69,1,1.0,414.0,,,,176.0,https://www.sreality.cz/detail/prodej/byt/2+1/vlckovice-v-podkrkonosi-horni-vlckovice-/335601740,Cihlová,3.0,3.0,Vlčkovice v Podkrkonoší,Horní Vlčkovice,Krbová kamna,2.0,1.0,33318.840579710144
Moravskoslezský kraj,49.79026305,18.16943684,2299000.0,27,1,4.0,555.0,3645.0,3636.0,,355.0,https://www.sreality.cz/detail/prodej/byt/1+kk/ostrava-polanka-nad-odrou-heleny-salichove/36705100,Montovaná,3.0,1.0,Ostrava,Polanka nad Odrou,Ústřední dálkové,1.0,0.0,85148.14814814815
Ústecký kraj,50.38922314,13.27164654,2299000.0,53,1,1.0,39.0,703.0,,,42.0,https://www.sreality.cz/detail/prodej/byt/2+1/kadan-kadan-chomutovska/2098303052,Panelová,3.0,8.0,Kadaň, Chomutov,Ústřední tuhá paliva,2.0,1.0,43377.35849056604
Pardubický kraj,50.1226164,16.79950529,2299000.0,28,1,1.0,757.0,,,,67.0,https://www.sreality.cz/detail/prodej/byt/1+kk/dolni-morava-dolni-morava-/2684608588,Cihlová,5.0,1.0,Dolní Morava, Ústí nad Orlicí,"Podlahové vytápění, Radiátory",1.0,0.0,82107.14285714286
Ústecký kraj,50.6660548,14.15292017,2299000.0,43,1,1.0,666.0,,,,427.0,https://www.sreality.cz/detail/prodej/byt/2+1/velke-brezno-velke-brezno-decinska/2237505612,Panelová,3.0,1.0,Velké Březno, Ústí nad Labem,Elektrokotel,2.0,1.0,53465.11627906977
Moravskoslezský kraj,49.87858566,18.43634562,2299000.0,77,2,1.0,183.0,278.0,,,240.0,https://www.sreality.cz/detail/prodej/byt/3+1/orlova-lutyne-f-s-tumy/1701389132,Panelová,5.0,1.0,Orlová,Lutyně,Ústřední dálkové,3.0,1.0,29857.14285714286
Kraj Vysočina,49.304268,15.071947,2299000.0,44,2,5.0,328.0,,,,30.0,https://www.sreality.cz/detail/prodej/byt/2+1/kamenice-nad-lipou-kamenice-nad-lipou-druzstevni/1769022284,Cihlová,3.0,4.0,Kamenice nad Lipou, Pelhřimov,,2.0,1.0,52250.0
Moravskoslezský kraj,50.12255489,17.37316119,2299000.0,63,1,4.0,316.0,,,,17.0,https://www.sreality.cz/detail/prodej/byt/3+1/vrbno-pod-pradedem-vrbno-pod-pradedem-jesenicka/3801817932,Panelová,5.0,7.0,Vrbno pod Pradědem, Bruntál,Ústřední dálkové,3.0,1.0,36492.06349206349
Ústecký kraj,50.774551,14.194808,2299000.0,56,1,1.0,92.0,304.0,,,170.0,https://www.sreality.cz/detail/prodej/byt/2+1/decin-decin-iv-podmokly-raisova/1200030284,Cihlová,5.0,1.0,Děčín,Děčín IV-Podmokly,,2.0,1.0,41053.57142857143
Moravskoslezský kraj,49.83085203,18.18146366,2299000.0,36,2,4.0,307.0,493.0,312.0,,462.0,https://www.sreality.cz/detail/prodej/byt/1+1/ostrava-poruba-opavska/1108201548,Panelová,5.0,5.0,Ostrava,Poruba,Ústřední dálkové,1.0,1.0,63861.11111111111
Královéhradecký kraj,50.41297454,16.15965937,2299000.0,32,2,1.0,268.0,161.0,,,206.0,https://www.sreality.cz/detail/prodej/byt/1+1/nachod-nachod-cechova/1363787852,Cihlová,5.0,4.0,Náchod,Náchod,Ústřední dálkové,1.0,1.0,71843.75
Ústecký kraj,50.5530573,13.7845139,2299000.0,49,1,1.0,238.0,856.0,,,120.0,https://www.sreality.cz/detail/prodej/byt/2+1/bilina-teplicke-predmesti-sidliste-za-chlumem/4210999372,Panelová,5.0,2.0,Bílina,Teplické Předměstí,,2.0,1.0,46918.36734693877
Pardubický kraj,49.84532024,15.65716541,2300000.0,32,1,1.0,67.0,,,,363.0,https://www.sreality.cz/detail/prodej/byt/1+1/sec-sec-sidl-9-kvetna/333156428,Panelová,3.0,1.0,Seč, Chrudim,Ústřední dálkové,1.0,1.0,71875.0
Ústecký kraj,50.644931,13.857553,2300000.0,41,2,4.0,68.0,1268.0,,,98.0,https://www.sreality.cz/detail/prodej/byt/2+kk/teplice-trnovany-v-zavetri/182317132,Panelová,2.0,2.0,Teplice,Trnovany,Radiátory,2.0,0.0,56097.560975609755
Liberecký kraj,50.73210434,15.16597252,2300000.0,28,1,3.0,349.0,527.0,853.0,,214.0,https://www.sreality.cz/detail/prodej/byt/1+1/jablonec-nad-nisou-jablonec-nad-nisou-riegrova/2455294028,Panelová,5.0,1.0,Jablonec nad Nisou,Jablonec nad Nisou,Centrální dálkové,1.0,1.0,82142.85714285714
Královéhradecký kraj,50.395344,16.051639,2300000.0,56,2,2.0,140.0,,,,120.0,https://www.sreality.cz/detail/prodej/byt/2+1/ceska-skalice-ceska-skalice-tyrsova/2546327628,Panelová,5.0,2.0,Česká Skalice, Náchod,Plynový kotel,2.0,1.0,41071.42857142857
Ústecký kraj,50.484449,14.028858,2300000.0,34,2,4.0,98.0,3004.0,,,162.0,https://www.sreality.cz/detail/prodej/byt/1+1/cizkovice-cizkovice-jiraskova/1615192140,Panelová,5.0,4.0,Čížkovice, Litoměřice,Ústřední dálkové,1.0,1.0,67647.05882352941
Ústecký kraj,50.6497881,13.8525738,2300000.0,40,2,5.0,258.0,1056.0,,,313.0,https://www.sreality.cz/detail/prodej/byt/2+kk/teplice-trnovany-/3869892684,Panelová,3.0,6.0,Teplice,Trnovany,Ústřední dálkové,2.0,0.0,57500.0
Jihočeský kraj,49.19269262,13.80008208,2300000.0,72,1,1.0,2822.0,,,,25.0,https://www.sreality.cz/detail/prodej/byt/3+kk/nemcice-nemcice-/503767116,Cihlová,3.0,3.0,Němčice, Strakonice,"Elektrokotel, Krbová kamna",3.0,0.0,31944.444444444445
Karlovarský kraj,50.371532,12.503878,2300000.0,24,1,5.0,263.0,2273.0,,,295.0,https://www.sreality.cz/detail/prodej/byt/1+kk/bublava-bublava-/3262313292,Cihlová,7.0,1.0,Bublava, Sokolov,Jiné,1.0,0.0,95833.33333333333
Moravskoslezský kraj,49.84108351,18.26240756,2300000.0,27,1,1.0,149.0,920.0,1138.0,,138.0,https://www.sreality.cz/detail/prodej/byt/1+kk/ostrava-moravska-ostrava-hornopolni/3845845068,Smíšená,4.0,13.0,Ostrava,Moravská Ostrava,,1.0,0.0,85185.18518518518
Moravskoslezský kraj,49.84136081,18.26356532,2300000.0,27,1,5.0,126.0,942.0,1080.0,,123.0,https://www.sreality.cz/detail/prodej/byt/1+kk/ostrava-moravska-ostrava-lechowiczova/3677024332,Smíšená,4.0,13.0,Ostrava,Moravská Ostrava,,1.0,0.0,85185.18518518518
Plzeňský kraj,49.29459418,13.14365603,2300000.0,40,2,4.0,159.0,,,,79.0,https://www.sreality.cz/detail/prodej/byt/1+1/nyrsko-nyrsko-rybarska/3430801484,Panelová,3.0,1.0,Nýrsko, Klatovy,Ústřední dálkové,1.0,1.0,57500.0
Pardubický kraj,49.80787728,16.43102549,2300000.0,72,1,1.0,721.0,,,,456.0,https://www.sreality.cz/detail/prodej/byt/3+1/mikulec-mikulec-/3856195660,Montovaná,3.0,2.0,Mikuleč, Svitavy,,3.0,1.0,31944.444444444445
Moravskoslezský kraj,49.79983076,18.39969301,2300000.0,68,2,6.0,287.0,1686.0,,,90.0,https://www.sreality.cz/detail/prodej/byt/3+1/havirov-sumbark-u-tesly/2315251788,Panelová,5.0,4.0,Havířov,Šumbark,Centrální dálkové,3.0,1.0,33823.529411764706
Moravskoslezský kraj,49.792228,18.266766,2300000.0,53,2,1.0,225.0,1882.0,238.0,,255.0,https://www.sreality.cz/detail/prodej/byt/2+1/ostrava-hrabuvka-zavodni/1606193228,Panelová,5.0,4.0,Ostrava,Hrabůvka,Centrální dálkové,2.0,1.0,43396.22641509434
Ústecký kraj,50.325281,13.557475,2300000.0,48,1,1.0,393.0,2026.0,,,61.0,https://www.sreality.cz/detail/prodej/byt/1+1/zatec-zatec-prazska/3906375756,Cihlová,2.0,3.0,Žatec, Louny,Plynový kotel,1.0,1.0,47916.666666666664
Olomoucký kraj,49.47095247,17.10915506,2300000.0,30,1,1.0,167.0,302.0,,,155.0,https://www.sreality.cz/detail/prodej/byt/1+kk/prostejov-prostejov-zizkovo-nam/1663627340,Cihlová,2.0,4.0,Prostějov,Prostějov,,1.0,0.0,76666.66666666667
Ústecký kraj,50.49251558,13.63613039,2300000.0,54,1,5.0,94.0,1007.0,47.0,,40.0,https://www.sreality.cz/detail/prodej/byt/2+1/most-most-hutnicka/4019748940,Panelová,4.0,2.0,Most,Most,Ústřední dálkové,2.0,1.0,42592.59259259259
Olomoucký kraj,50.22246738,17.1982681,2300000.0,68,2,4.0,256.0,333.0,,,235.0,https://www.sreality.cz/detail/prodej/byt/3+1/jesenik-jesenik-klicperova/3083436108,Panelová,5.0,4.0,Jeseník,Jeseník,Ústřední dálkové,3.0,1.0,33823.529411764706
Karlovarský kraj,50.13884293,12.790954,2300000.0,64,1,4.0,209.0,,,,533.0,https://www.sreality.cz/detail/prodej/byt/3+1/horni-slavkov-horni-slavkov-dlouha/1559531596,Panelová,5.0,5.0,Horní Slavkov, Sokolov,Ústřední dálkové,3.0,1.0,35937.5
Karlovarský kraj,50.22647364,12.82255733,2300000.0,53,1,1.0,1599.0,185.0,,,61.0,https://www.sreality.cz/detail/prodej/byt/1+1/karlovy-vary-dvory-chebska/2389815372,Cihlová,3.0,1.0,Karlovy Vary,Dvory,Elektrokotel,1.0,1.0,43396.22641509434
Liberecký kraj,50.68026872,14.5302564,2300000.0,46,1,1.0,114.0,830.0,,,163.0,https://www.sreality.cz/detail/prodej/byt/2+1/ceska-lipa-ceska-lipa-dubicka/2945020492,Smíšená,5.0,1.0,Česká Lípa,Česká Lípa,Plynový kotel,2.0,1.0,50000.0
Plzeňský kraj,49.90556327,12.97528487,2300000.0,60,1,3.0,80.0,,,,372.0,https://www.sreality.cz/detail/prodej/byt/3+1/bezdruzice-bezdruzice-na-sidlisti/3699622732,Panelová,5.0,5.0,Bezdružice, Tachov,Ústřední dálkové,3.0,1.0,38333.333333333336
Moravskoslezský kraj,50.12068464,17.37677513,2300000.0,53,1,1.0,70.0,,,,312.0,https://www.sreality.cz/detail/prodej/byt/2+1/vrbno-pod-pradedem-vrbno-pod-pradedem-nad-stadionem/1400152140,Panelová,3.0,6.0,Vrbno pod Pradědem, Bruntál,Ústřední dálkové,2.0,1.0,43396.22641509434
Královéhradecký kraj,50.47667223,16.09437668,2300000.0,59,1,1.0,163.0,,,,141.0,https://www.sreality.cz/detail/prodej/byt/2+1/cerveny-kostelec-cerveny-kostelec-bozeny-nemcove/2454016844,Cihlová,3.0,1.0,Červený Kostelec, Náchod,Ústřední dálkové,2.0,1.0,38983.05084745763
Olomoucký kraj,50.06848737,17.0924777,2300000.0,58,1,3.0,573.0,,,,401.0,https://www.sreality.cz/detail/prodej/byt/2+1/loucna-nad-desnou-loucna-nad-desnou-/1824027212,Smíšená,3.0,1.0,Loučná nad Desnou, Šumperk,Kotel na tuhá paliva,2.0,1.0,39655.1724137931
Ústecký kraj,50.4992208,13.45012416,2300000.0,60,2,4.0,63.0,404.0,,,91.0,https://www.sreality.cz/detail/prodej/byt/2+1/jirkov-jirkov-alesova/3627766604,Panelová,5.0,2.0,Jirkov, Chomutov,Ústřední dálkové,2.0,1.0,38333.333333333336
Liberecký kraj,50.6276944,15.13652659,2300000.0,30,1,1.0,38.0,,,,17.0,https://www.sreality.cz/detail/prodej/byt/1+kk/jenisovice-jenisovice-/2603102796,Cihlová,4.0,3.0,Jenišovice, Jablonec nad Nisou,,1.0,0.0,76666.66666666667
Ústecký kraj,50.552137,13.787666,2300000.0,80,1,1.0,66.0,1078.0,,,114.0,https://www.sreality.cz/detail/prodej/byt/3+1/bilina-teplicke-predmesti-sidliste-za-chlumem/2914897996,Panelová,3.0,8.0,Bílina,Teplické Předměstí,Ústřední dálkové,3.0,1.0,28750.0
Karlovarský kraj,50.21253798,12.74292821,2300000.0,62,1,1.0,84.0,4299.0,,,193.0,https://www.sreality.cz/detail/prodej/byt/3+1/nove-sedlo-nove-sedlo-sadova/3173961804,Panelová,3.0,8.0,Nové Sedlo, Sokolov,Ústřední dálkové,3.0,1.0,37096.77419354839
Olomoucký kraj,49.451248,17.46015,2300000.0,36,1,1.0,255.0,284.0,,,196.0,https://www.sreality.cz/detail/prodej/byt/1+1/prerov-prerov-i-mesto-svisle/755679308,Panelová,3.0,1.0,Přerov,Přerov I-Město,Ústřední dálkové,1.0,1.0,63888.88888888889
Zlínský kraj,49.36574047,17.36518606,2300000.0,41,1,4.0,420.0,,,,96.0,https://www.sreality.cz/detail/prodej/byt/2+kk/chropyne-chropyne-j-fucika/630964300,Panelová,3.0,6.0,Chropyně, Kroměříž,,2.0,0.0,56097.560975609755
Ústecký kraj,50.49293567,13.4453816,2300000.0,51,1,1.0,45.0,734.0,,,78.0,https://www.sreality.cz/detail/prodej/byt/2+1/jirkov-jirkov-karla-capka/2730213452,Cihlová,5.0,3.0,Jirkov, Chomutov,Ústřední dálkové,2.0,1.0,45098.03921568627
Jihočeský kraj,48.911703,13.894201,2300000.0,65,2,1.0,186.0,,,,757.0,https://www.sreality.cz/detail/prodej/byt/3+1/volary-volary-sidl-miru/2007679052,Panelová,3.0,2.0,Volary, Prachatice,Ústřední dálkové,3.0,1.0,35384.61538461538
Karlovarský kraj,50.176125,12.66138,2300000.0,51,1,1.0,37.0,479.0,,,50.0,https://www.sreality.cz/detail/prodej/byt/2+kk/sokolov-sokolov-hornicka/1906950220,Smíšená,4.0,3.0,Sokolov,Sokolov,Ústřední dálkové,2.0,0.0,45098.03921568627
Jihočeský kraj,48.911411,13.89608,2300000.0,72,2,1.0,70.0,,,,883.0,https://www.sreality.cz/detail/prodej/byt/3+1/volary-volary-sidl-miru/233816140,Panelová,3.0,3.0,Volary, Prachatice,Ústřední dálkové,3.0,1.0,31944.444444444445
Pardubický kraj,49.71154556,16.48089249,2300000.0,45,1,1.0,277.0,,,,41.0,https://www.sreality.cz/detail/prodej/byt/1+1/hradec-nad-svitavou-hradec-nad-svitavou-/1625866316,Cihlová,5.0,1.0,Hradec nad Svitavou, Svitavy,Přímotop,1.0,1.0,51111.11111111111
Karlovarský kraj,50.31683791,12.74595615,2300000.0,53,1,3.0,99.0,,,,343.0,https://www.sreality.cz/detail/prodej/byt/2+1/nejdek-nejdek-okruzni/2350432332,Panelová,4.0,4.0,Nejdek, Karlovy Vary,Ústřední dálkové,2.0,1.0,43396.22641509434
Ústecký kraj,50.638175,13.804318,2300000.0,55,2,5.0,90.0,349.0,,,86.0,https://www.sreality.cz/detail/prodej/byt/2+1/teplice-retenice-duchcovska/1943453772,Panelová,5.0,5.0,Teplice,Řetenice,Ústřední dálkové,2.0,1.0,41818.181818181816
Liberecký kraj,50.780613,14.62740802,2300000.0,74,1,1.0,44.0,5945.0,,,124.0,https://www.sreality.cz/detail/prodej/byt/3+1/cvikov-cvikov-ii-sidliste/3669475404,Montovaná,2.0,5.0,Cvikov,Cvikov II,,3.0,1.0,31081.08108108108
Ústecký kraj,50.4931237,13.65850881,2300000.0,68,2,1.0,59.0,696.0,816.0,,174.0,https://www.sreality.cz/detail/prodej/byt/3+1/most-most-frantiska-malika/4027826252,Panelová,2.0,4.0,Most,Most,Ústřední dálkové,3.0,1.0,33823.529411764706
Olomoucký kraj,49.57855865,17.07701367,2300000.0,56,1,1.0,127.0,5120.0,,,321.0,https://www.sreality.cz/detail/prodej/byt/2+1/drahanovice-drahanovice-/2490482764,Cihlová,5.0,1.0,Drahanovice, Olomouc,"Radiátory, Kamna",2.0,1.0,41071.42857142857
Olomoucký kraj,49.57855865,17.07701367,2300000.0,56,1,1.0,127.0,5120.0,,,321.0,https://www.sreality.cz/detail/prodej/byt/1+1/drahanovice-drahanovice-/1433518156,Cihlová,5.0,1.0,Drahanovice, Olomouc,"Radiátory, Kamna",1.0,1.0,41071.42857142857
Plzeňský kraj,49.73224554,13.76140416,2301700.0,46,1,1.0,307.0,,,,409.0,https://www.sreality.cz/detail/prodej/byt/2+kk/strasice-strasice-/2696266572,Cihlová,4.0,1.0,Strašice, Rokycany,,2.0,0.0,50036.95652173913
Hlavní město Praha,50.06313556,14.45892056,9377912.0,46,2,7.0,436.0,839.0,413.0,1682.0,424.0,https://www.sreality.cz/detail/prodej/byt/2+kk/praha-vrsovice-u-seradiste/1853698892,Smíšená,8.0,3.0,Praha, Praha 10,,2.0,0.0,203867.65217391305
Ústecký kraj,50.3852639,13.27220845,2310000.0,55,1,1.0,273.0,400.0,,,239.0,https://www.sreality.cz/detail/prodej/byt/2+1/kadan-kadan-u-stadionu/3724705868,Panelová,3.0,4.0,Kadaň, Chomutov,Ústřední dálkové,2.0,1.0,42000.0
Kraj Vysočina,49.63383921,15.77994603,2320000.0,63,0,1.0,235.0,,,,330.0,https://www.sreality.cz/detail/prodej/byt/2+1/havlickova-borova-havlickova-borova-havlickova/3249774668,Cihlová,3.0,2.0,Havlíčkova Borová, Havlíčkův Brod,Plynový kotel,2.0,1.0,36825.39682539683
Ústecký kraj,50.68615904,13.88158929,2320000.0,99,2,6.0,331.0,3159.0,,,164.0,https://www.sreality.cz/detail/prodej/byt/4+1/krupka-marsov-karla-capka/2628744012,Panelová,3.0,8.0,Krupka,Maršov,Ústřední dálkové,4.0,1.0,23434.343434343435
Ústecký kraj,50.50518887,13.43494792,2320000.0,63,2,1.0,73.0,894.0,,,182.0,https://www.sreality.cz/detail/prodej/byt/3+1/jirkov-jirkov-k-marxe/74895436,Panelová,4.0,1.0,Jirkov, Chomutov,Centrální dálkové,3.0,1.0,36825.39682539683
Ústecký kraj,50.49333794,13.44473224,2321000.0,54,1,1.0,86.0,686.0,,,59.0,https://www.sreality.cz/detail/prodej/byt/2+1/jirkov-jirkov-ervenicka/843632716,Cihlová,5.0,3.0,Jirkov, Chomutov,Ústřední dálkové,2.0,1.0,42981.48148148148
Ústecký kraj,50.50375574,13.63786823,2321000.0,63,1,3.0,125.0,315.0,259.0,,150.0,https://www.sreality.cz/detail/prodej/byt/3+1/most-most-m-g-dobnera/2443461452,Panelová,3.0,6.0,Most,Most,Ústřední dálkové,3.0,1.0,36841.269841269845
Středočeský kraj,50.23876901,14.31470762,2329000.0,38,2,6.0,127.0,1579.0,,,39.0,https://www.sreality.cz/detail/prodej/byt/1+kk/kralupy-nad-vltavou-kralupy-nad-vltavou-nadrazni/2953179212,Cihlová,7.0,4.0,Kralupy nad Vltavou, Mělník,Ústřední dálkové,1.0,0.0,61289.47368421053
Kraj Vysočina,49.63414409,15.78051485,2330000.0,63,1,1.0,235.0,,,,330.0,https://www.sreality.cz/detail/prodej/byt/2+1/havlickova-borova-havlickova-borova-havlickova/239620940,Cihlová,3.0,2.0,Havlíčkova Borová, Havlíčkův Brod,,2.0,1.0,36984.12698412698
Ústecký kraj,50.49365953,13.6580694,2330000.0,88,2,5.0,92.0,746.0,854.0,,238.0,https://www.sreality.cz/detail/prodej/byt/4+1/most-most-frantiska-malika/84926540,Panelová,4.0,1.0,Most,Most,,4.0,1.0,26477.272727272728
Ústecký kraj,50.68655665,13.88339568,2332000.0,99,2,1.0,331.0,3159.0,,,164.0,https://www.sreality.cz/detail/prodej/byt/4+1/krupka-marsov-karla-capka/1299304524,Panelová,3.0,3.0,Krupka,Maršov,Ústřední dálkové,4.0,1.0,23555.555555555555
Karlovarský kraj,50.21596964,12.53407634,2333100.0,60,1,1.0,142.0,,,,295.0,https://www.sreality.cz/detail/prodej/byt/3+kk/krajkova-krajkova-/32755788,Cihlová,3.0,3.0,Krajková, Sokolov,"Plynový kotel, Krbová kamna, Krb",3.0,0.0,38885.0
Kraj Vysočina,49.395719,15.587292,2339999.0,33,1,1.0,89.0,509.0,,,147.0,https://www.sreality.cz/detail/prodej/byt/1+kk/jihlava-jihlava-benesova/2125037644,Smíšená,3.0,2.0,Jihlava,Jihlava,"Plynový kotel, Přímotop",1.0,0.0,70909.06060606061
Ústecký kraj,50.686137,13.994952,2340000.0,33,1,5.0,66.0,212.0,,,125.0,https://www.sreality.cz/detail/prodej/byt/1+1/usti-nad-labem-vseborice-17-listopadu/1811382348,Panelová,2.0,7.0,Ústí nad Labem,Všebořice,Centrální dálkové,1.0,1.0,70909.09090909091
Hlavní město Praha,50.06728886,14.55274145,7971543.0,41,2,6.0,848.0,389.0,1739.0,2939.0,156.0,https://www.sreality.cz/detail/prodej/byt/1+kk/praha-dolni-mecholupy-honzikova/537387084,Smíšená,8.0,1.0,Praha, Praha 10,Ústřední dálkové,1.0,0.0,194427.8780487805
Olomoucký kraj,49.86741703,16.90239594,2340000.0,43,1,5.0,1618.0,1457.0,,,229.0,https://www.sreality.cz/detail/prodej/byt/2+kk/zabreh-zabreh-na-nove/2541006924,Panelová,3.0,3.0,Zábřeh, Šumperk,Plynový kotel,2.0,0.0,54418.604651162794
Ústecký kraj,50.61902309,13.60805442,2349000.0,59,2,5.0,212.0,2043.0,1796.0,,138.0,https://www.sreality.cz/detail/prodej/byt/2+1/mezibori-mezibori-nad-parkem/1486046028,Panelová,4.0,0.0,Meziboří, Most,Ústřední dálkové,2.0,1.0,39813.5593220339
Moravskoslezský kraj,49.84494,18.16945,2350000.0,26,1,1.0,186.0,823.0,923.0,,44.0,https://www.sreality.cz/detail/prodej/byt/1+kk/ostrava-poruba-podrouzkova/4133015628,Panelová,5.0,4.0,Ostrava,Poruba,,1.0,0.0,90384.61538461539
Liberecký kraj,50.56771463,14.65417528,2350000.0,34,1,4.0,364.0,,,,62.0,https://www.sreality.cz/detail/prodej/byt/2+kk/doksy-doksy-tyrsovo-namesti/2755822412,Cihlová,5.0,3.0,Doksy, Česká Lípa,Plynový kotel,2.0,0.0,69117.64705882352
Karlovarský kraj,50.18445472,12.55085622,2350000.0,67,1,1.0,95.0,,,,190.0,https://www.sreality.cz/detail/prodej/byt/3+1/habartov-habartov-karla-capka/4179857484,Cihlová,4.0,6.0,Habartov, Sokolov,Radiátory,3.0,1.0,35074.62686567164
Hlavní město Praha,50.0675478,14.55419211,6075993.0,29,2,6.0,823.0,293.0,1700.0,2868.0,52.0,https://www.sreality.cz/detail/prodej/byt/1+kk/praha-dolni-mecholupy-honzikova/1027854412,Smíšená,8.0,4.0,Praha, Praha 10,,1.0,0.0,209517.0
Zlínský kraj,49.336983,17.99885,2350000.0,46,1,1.0,239.0,323.0,,,330.0,https://www.sreality.cz/detail/prodej/byt/2+kk/vsetin-vsetin-tyrsova/2921058380,Cihlová,3.0,1.0,Vsetín,Vsetín,Ústřední dálkové,2.0,0.0,51086.95652173913
Ústecký kraj,50.67644825,14.09989655,2350000.0,61,2,1.0,194.0,4420.0,,,232.0,https://www.sreality.cz/detail/prodej/byt/2+1/usti-nad-labem-nestemice-hluboka/3447750732,Panelová,5.0,2.0,Ústí nad Labem,Neštěmice,Ústřední dálkové,2.0,1.0,38524.59016393442
Pardubický kraj,49.7610083,16.46582955,2350000.0,35,1,1.0,360.0,1062.0,,,481.0,https://www.sreality.cz/detail/prodej/byt/1+1/svitavy-predmesti-bozeny-nemcove/1696981068,Smíšená,3.0,2.0,Svitavy,Předměstí,Elektrokotel,1.0,1.0,67142.85714285714
Ústecký kraj,50.55567552,13.78844447,2350000.0,73,1,5.0,281.0,1184.0,,,105.0,https://www.sreality.cz/detail/prodej/byt/3+1/bilina-teplicke-predmesti-sidliste-za-chlumem/2830164044,Panelová,4.0,3.0,Bílina,Teplické Předměstí,Ústřední dálkové,3.0,1.0,32191.780821917808
Pardubický kraj,49.74935367,16.47375196,2350000.0,36,1,1.0,178.0,512.0,,,217.0,https://www.sreality.cz/detail/prodej/byt/1+1/svitavy-lany-svitavska/2289164364,Panelová,2.0,4.0,Svitavy,Lány,,1.0,1.0,65277.77777777778
Karlovarský kraj,50.22768768,12.86136287,2350000.0,24,1,1.0,69.0,802.0,,,186.0,https://www.sreality.cz/detail/prodej/byt/1+kk/karlovy-vary-karlovy-vary-moskevska/3195199564,Cihlová,5.0,4.0,Karlovy Vary,Karlovy Vary,Lokální elektrické,1.0,0.0,97916.66666666667
Plzeňský kraj,49.56684702,12.83233814,2350000.0,71,1,1.0,4275.0,,,,64.0,https://www.sreality.cz/detail/prodej/byt/3+1/horsovsky-tyn-tasnovice-/308928588,Panelová,5.0,2.0,Horšovský Týn,Tasnovice,"Tepelné čerpadlo, Krbová kamna, Krb",3.0,1.0,33098.59154929577
Moravskoslezský kraj,49.85901011,18.27280364,2350000.0,33,1,1.0,243.0,422.0,556.0,,197.0,https://www.sreality.cz/detail/prodej/byt/1+kk/ostrava-privoz-kristanova/1461863244,Cihlová,3.0,4.0,Ostrava,Přívoz,Přímotop,1.0,0.0,71212.12121212122
